N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
1049,,,,3.0,1.7654267970401691,2900,2000,,,,,34,,,False,,,,,3.0,0.0,2900,,,889.076542679704
1050,,,,2.0,2.0,700,0,,,,,29,,,False,,,,,2.0,2.0,700,,,248.7
1051,,,,4.0,4.0,1400,250,,,,,25,,,False,,,,,4.0,4.0,1400,,,414.2
1052,,,,4.0,0.5,2200,900,,,,,26,,,False,,,,,4.0,0.5,2200,,,638.7
1053,,,,2.0,2.0,350,65,,,,,23,,,False,,,,,2.0,2.0,350,,,184.9
1054,,,,0.5,0.5,800,0,,,,,30,,,False,,,,,0.5,0.5,800,,,268.6
1055,,,,0.25,0.25,1500,0,,,,,28,,,False,,,,,0.25,0.25,1500,,,408.4
1056,,,,4.0,0.5,1200,700,,,,,27,,,False,,,,,4.0,0.5,1200,,,419.2
1057,,,,2.0,0.5,2000,1200,,,,,23,,,False,,,,,2.0,0.5,2000,,,628.5
1058,,,,2.0,1.5,1140,740,,,,,24,,,False,,,,,2.0,1.5,1140,,,410.9
1059,,,,9.0,3.0,4000,0,,,,,30,,,False,,,,,9.0,3.0,4000,,,911.3
1060,,,,5.0,4.0,2000,500,,,,,28,,,False,,,,,5.0,4.0,2000,,,560.6
1061,,,,3.0,6.0,2200,350,,,,,29,,,False,,,,,3.0,6.0,2200,,,585.8
1062,,,,3.0,3.0,1100,400,,,,,26,,,False,,,,,3.0,3.0,1100,,,370.0
1063,,,,3.0,1.0,615,150,,,,,22,,,False,,,,,3.0,1.0,615,,,247.3
1064,,,,5.0,2.0,5000,500,,,,,26,,,False,,,,,5.0,2.0,5000,,,1160.4
1065,,,,5.0,2.0,4800,1000,,,,,27,,,False,,,,,5.0,2.0,4800,,,1170.6
1066,,,,6.0,1.0,3800,200,,,,,29,,,False,,,,,6.0,1.0,3800,,,890.9
1067,,,,7.0,1.5,2000,400,,,,,30,,,False,,,,,7.0,1.5,2000,,,551.4
1068,,,,2.0,2.0,600,300,,,,,23,,,False,,,,,2.0,2.0,600,,,259.9
1069,,,,3.0,1.5,1900,200,,,,,23,,,False,,,,,3.0,1.5,1900,,,510.1
1070,,,,1.0,0.5,1300,800,,,,,22,,,False,,,,,1.0,0.5,1300,,,449.5
1071,,,,1.5,1.5,550,300,,,,,23,,,False,,,,,1.5,1.5,550,,,250.0
1072,,,,3.1646325459317586,1.7654267970401691,1500,1140,,,,,25,,,False,,,,,0.0,0.0,1500,,,524.1930059342972
1073,,,,5.0,5.0,2470,300,,,,,26,,,False,,,,,5.0,5.0,2470,,,635.9
1074,,,,1.0,0.5,600,400,,,,,21,,,True,,,,,1.0,0.5,600,,,269.9
1075,,,,7.0,1.0,6025,725,,,,,28,,,False,,,,,7.0,1.0,6025,,,1389.4
1076,,,,6.0,6.0,3400,650,,,,,25,,,False,,,,,6.0,6.0,3400,,,857.5
1077,,,,1.5,1.5,1000,500,,,,,24,,,False,,,,,1.5,1.5,1000,,,360.7
1078,,,,1.5,0.25,1000,750,,,,,22,,,True,,,,,1.5,0.25,1000,,,385.45
1079,,,,0.5,0.25,250,0,,,,,23,,,False,,,,,0.5,0.25,250,,,160.35
1080,,,,0.25,0.25,400,0,,,,,23,,,False,,,,,0.25,0.25,400,,,190.4
1081,,,,5.0,1.0,2800,500,,,,,29,,,False,,,,,5.0,1.0,2800,,,722.2
1082,,,,5.0,5.0,2100,200,,,,,27,,,False,,,,,5.0,5.0,2100,,,552.9
1083,,,,4.0,0.5,1200,0,,,,,29,,,False,,,,,4.0,0.5,1200,,,352.1
1084,,,,1.0,1.0,350,100,,,,,25,,,False,,,,,1.0,1.0,350,,,191.3
1085,,,,6.0,6.0,876,150,,,,,32,,,False,,,,,6.0,6.0,876,,,304.3
1086,,,,0.5,0.5,500,200,,,,,26,,,False,,,,,0.5,0.5,500,,,231.4
1087,,,,4.0,2.0,1800,0,,,,,29,,,False,,,,,4.0,2.0,1800,,,472.8
1088,,,,1.0,1.0,482,0,,,,,27,,,False,,,,,1.0,1.0,482,,,208.3
1089,,,,4.0,1.0,3100,0,,,,,27,,,False,,,,,4.0,1.0,3100,,,732.6
1090,,,,6.0,1.0,2800,500,,,,,24,,,False,,,,,6.0,1.0,2800,,,722.8
1091,,,,0.5,1.7654267970401691,400,400,,,,,21,,,True,,,,,0.5,0.0,400,,,231.576542679704
1092,,,,6.0,6.0,4000,0,,,,,27,,,False,,,,,6.0,6.0,4000,,,914.3
1093,,,,4.0,0.5,2700,250,,,,,28,,,False,,,,,4.0,0.5,2700,,,678.0
1094,,,,5.0,3.0,2300,0,,,,,24,,,False,,,,,5.0,3.0,2300,,,573.4
1095,,,,0.5,0.5,750,200,,,,,30,,,False,,,,,0.5,0.5,750,,,282.7
1096,,,,2.0,2.0,1000,400,,,,,27,,,False,,,,,2.0,2.0,1000,,,353.1
1097,,,,6.0,1.0,2700,0,,,,,37,,,False,,,,,6.0,1.0,2700,,,654.8
1098,,,,2.0,1.7654267970401691,1500,500,,,,,33,,,False,,,,,2.0,0.0,1500,,,463.676542679704
1099,,,,0.5,0.5,300,0,,,,,38,,,False,,,,,0.5,0.5,300,,,173.9
1100,,,,1.0,1.0,2090,0,,,,,34,,,False,,,,,1.0,1.0,2090,,,531.8
1101,,,,1.5,1.5,800,500,,,,,22,,,False,,,,,1.5,1.5,800,,,322.9
1102,,,,8.0,1.7654267970401691,1000,100,,,,,33,,,False,,,,,8.0,0.0,1000,,,325.276542679704
1103,,,,4.0,1.5,3000,500,,,,,24,,,False,,,,,4.0,1.5,3000,,,763.8
1104,,,,2.0,0.5,1850,1000,,,,,25,,,False,,,,,2.0,0.5,1850,,,583.4
1105,,,,5.0,1.5,400,0,,,,,26,,,False,,,,,5.0,1.5,400,,,194.4
1106,,,,1.0,0.5,350,0,,,,,22,,,False,,,,,1.0,0.5,350,,,183.1
1107,,,,0.25,0.25,600,0,,,,,24,,,False,,,,,0.25,0.25,600,,,233.2
1108,,,,3.0,1.0,3200,1500,,,,,29,,,False,,,,,3.0,1.0,3200,,,904.5
1109,,,,1.0,1.7654267970401691,300,0,,,,,19,,,False,,,,,1.0,0.0,300,,,173.17654267970403
1110,,,,0.25,0.25,300,0,,,,,22,,,True,,,,,0.25,0.25,300,,,173.4
1111,,,,3.1646325459317586,1.5,2500,700,,,,,33,,,False,,,,,10.0,1.5,2500,,,686.0164632545932
1112,,,,3.1646325459317586,2.0,3000,500,,,,,30,,,False,,,,,10.0,2.0,3000,,,765.9164632545932
1113,,,,3.0,1.5,1200,0,,,,,22,,,False,,,,,3.0,1.5,1200,,,354.4
1114,,,,4.0,4.0,1100,300,,,,,26,,,False,,,,,4.0,4.0,1100,,,365.6
1115,,,,1.0,0.5,700,350,,,,,21,,,True,,,,,1.0,0.5,700,,,289.0
1116,,,,8.0,6.0,2148,575,,,,,28,,,False,,,,,8.0,6.0,2148,,,604.3
1117,,,,3.0,3.0,250,50,,,,,23,,,False,,,,,3.0,3.0,250,,,170.2
1118,,,,1.0,0.25,450,250,,,,,26,,,False,,,,,1.0,0.25,450,,,229.65
1119,,,,0.5,0.5,200,0,,,,,20,,,True,,,,,0.5,0.5,200,,,154.2
1120,,,,5.0,4.0,1150,60,,,,,26,,,False,,,,,5.0,4.0,1150,,,352.4
1121,,,,3.1646325459317586,3.0,1150,150,,,,,32,,,False,,,,,10.0,3.0,1150,,,362.2164632545931
1122,,,,0.5,0.5,200,0,,,,,22,,,False,,,,,0.5,0.5,200,,,154.6
1123,,,,3.0,0.25,1650,450,,,,,27,,,False,,,,,3.0,0.25,1650,,,490.65
1124,,,,5.0,1.7654267970401691,2600,1000,,,,,27,,,False,,,,,5.0,0.0,2600,,,736.276542679704
1125,,,,3.1646325459317586,1.7654267970401691,300,-550,,,,,35,,,False,,,,,0.0,0.0,300,,,121.49300593429719
1126,,,,3.0,0.5,400,0,,,,,29,,,False,,,,,3.0,0.5,400,,,196.2
1127,,,,1.5,0.25,500,250,,,,,23,,,True,,,,,1.5,0.25,500,,,240.45
1128,,,,3.0,0.5,2800,1000,,,,,25,,,False,,,,,3.0,0.5,2800,,,776.0
1129,,,,2.0,0.25,800,400,,,,,21,,,True,,,,,2.0,0.25,800,,,315.55
1130,,,,2.0,1.5,700,300,,,,,25,,,False,,,,,2.0,1.5,700,,,286.2
1131,,,,5.0,5.0,2000,0,,,,,29,,,False,,,,,5.0,5.0,2000,,,518.0
1132,,,,4.0,1.0,2100,0,,,,,35,,,False,,,,,4.0,1.0,2100,,,537.7
1133,,,,3.0,1.7654267970401691,1900,600,,,,,33,,,False,,,,,3.0,0.0,1900,,,557.376542679704
1134,,,,7.0,5.0,2600,200,,,,,28,,,False,,,,,7.0,5.0,2600,,,658.6
1135,,,,2.0,1.7654267970401691,500,200,,,,,24,,,False,,,,,2.0,0.0,500,,,236.476542679704
1136,,,,6.0,5.0,3600,600,,,,,29,,,False,,,,,6.0,5.0,3600,,,898.7
1137,,,,5.0,0.5,3000,450,,,,,26,,,False,,,,,5.0,0.5,3000,,,762.4
1138,,,,3.0,1.7654267970401691,3200,1200,,,,,23,,,False,,,,,3.0,0.0,3200,,,876.8765426797039
1139,,,,4.0,0.5,2600,1000,,,,,27,,,False,,,,,4.0,0.5,2600,,,737.5
1140,,,,3.1646325459317586,1.7654267970401691,3000,0,,,,,52,,,False,,,,,10.0,10.0,3000,,,721.6930059342972
1141,,,,3.0,0.5,2000,1000,,,,,26,,,False,,,,,3.0,0.5,2000,,,617.4
1142,,,,8.0,3.0,4600,300,,,,,35,,,False,,,,,8.0,3.0,4600,,,1069.9
1143,,,,6.0,6.0,1700,0,,,,,30,,,False,,,,,6.0,6.0,1700,,,459.7
1144,,,,4.0,1.5,1880,80,,,,,25,,,False,,,,,4.0,1.5,1880,,,502.0
1145,,,,1.5,1.5,500,250,,,,,24,,,False,,,,,1.5,1.5,500,,,242.5
1146,,,,3.0,2.0,2500,0,,,,,39,,,False,,,,,3.0,2.0,2500,,,619.5
1147,,,,1.0,1.0,450,200,,,,,31,,,False,,,,,1.0,1.0,450,,,228.2
1148,,,,5.0,4.0,3000,0,,,,,24,,,False,,,,,5.0,4.0,3000,,,719.0
1149,,,,1.5,0.5,650,300,,,,,25,,,False,,,,,1.5,0.5,650,,,277.8
1150,,,,1.5,1.0,900,600,,,,,22,,,True,,,,,1.5,1.0,900,,,357.8
1151,,,,2.0,2.0,500,77,,,,,25,,,False,,,,,2.0,2.0,500,,,226.1
1152,,,,9.0,4.0,2800,-200,,,,,30,,,False,,,,,9.0,4.0,2800,,,660.8
1153,,,,3.1646325459317586,1.5,3200,200,,,,,39,,,False,,,,,10.0,1.5,3200,,,780.8164632545931
1154,,,,2.0,2.0,1600,900,,,,,26,,,False,,,,,2.0,2.0,1600,,,528.8
1155,,,,3.0,1.5,2000,1500,,,,,26,,,False,,,,,3.0,1.5,2000,,,669.0
1156,,,,5.0,3.0,2200,200,,,,,28,,,False,,,,,5.0,3.0,2200,,,580.0
1157,,,,0.5,0.5,350,0,,,,,28,,,False,,,,,0.5,0.5,350,,,188.7
1158,,,,7.0,3.0,3000,300,,,,,31,,,False,,,,,7.0,3.0,3000,,,750.9
1159,,,,5.0,1.0,3100,1000,,,,,27,,,False,,,,,5.0,1.0,3100,,,839.8
1160,,,,4.0,2.0,1400,400,,,,,26,,,False,,,,,4.0,2.0,1400,,,439.8
1161,,,,5.0,1.0,3500,450,,,,,26,,,False,,,,,5.0,1.0,3500,,,864.9
1162,,,,2.0,0.5,630,230,,,,,29,,,False,,,,,2.0,0.5,630,,,268.6
1163,,,,0.5,0.25,760,300,,,,,24,,,False,,,,,0.5,0.25,760,,,300.85
1164,,,,2.0,2.0,1200,600,,,,,22,,,False,,,,,2.0,2.0,1200,,,419.4
1165,,,,2.0,0.5,600,270,,,,,26,,,False,,,,,2.0,0.5,600,,,266.6
1166,,,,3.1646325459317586,0.5,6000,1000,,,,,35,,,False,,,,,10.0,0.5,6000,,,1421.5164632545932
1167,,,,3.1646325459317586,1.7654267970401691,2750,100,,,,,31,,,False,,,,,10.0,10.0,2750,,,682.2930059342972
1168,,,,3.1646325459317586,1.7654267970401691,400,0,,,,,24,,,False,,,,,0.0,0.0,400,,,199.6930059342972
1169,,,,4.0,2.0,2560,760,,,,,26,,,False,,,,,4.0,2.0,2560,,,708.7
1170,,,,5.0,1.0,2600,600,,,,,28,,,False,,,,,5.0,1.0,2600,,,701.0
1171,,,,3.1646325459317586,2.0,10000,3000,,,,,34,,,False,,,,,10.0,2.0,10000,,,2422.216463254593
1172,,,,3.1646325459317586,1.7654267970401691,360,0,,,,,20,,,True,,,,,0.0,0.0,360,,,191.79300593429718
1173,,,,2.0,2.0,1300,800,,,,,20,,,True,,,,,2.0,2.0,1300,,,460.2
1174,,,,4.0,1.7654267970401691,3000,1200,,,,,20,,,True,,,,,4.0,0.0,3000,,,840.4765426797039
1175,,,,3.1646325459317586,1.7654267970401691,3800,700,,,,,37,,,False,,,,,10.0,0.0,3800,,,952.6930059342973
1176,,,,6.0,0.25,2600,800,,,,,26,,,False,,,,,6.0,0.25,2600,,,721.45
1177,,,,0.5,0.5,400,400,,,,,23,,,False,,,,,0.5,0.5,400,,,240.2
1178,,,,5.0,2.0,3800,500,,,,,31,,,False,,,,,5.0,2.0,3800,,,932.3
1179,,,,2.0,0.25,450,0,,,,,23,,,False,,,,,2.0,0.25,450,,,210.65
1180,,,,9.0,2.0,3300,300,,,,,31,,,False,,,,,9.0,2.0,3300,,,813.3
1181,,,,1.5,1.5,1100,550,,,,,27,,,False,,,,,1.5,1.5,1100,,,396.4
1182,,,,3.1646325459317586,1.7654267970401691,5500,-200,,,,,33,,,False,,,,,10.0,10.0,5500,,,1203.9930059342973
1183,,,,1.0,1.7654267970401691,560,100,,,,,27,,,False,,,,,1.0,0.0,560,,,243.37654267970402
1184,,,,3.0,1.0,1000,300,,,,,23,,,False,,,,,3.0,1.0,1000,,,351.5
1185,,,,2.0,2.0,760,360,,,,,32,,,False,,,,,2.0,2.0,760,,,310.5
1186,,,,0.25,0.25,300,0,,,,,27,,,False,,,,,0.25,0.25,300,,,181.4
1187,,,,1.5,0.25,700,300,,,,,30,,,False,,,,,1.5,0.25,700,,,292.05
1188,,,,1.5,1.5,952,550,,,,,26,,,False,,,,,1.5,1.5,952,,,367.4
1189,,,,6.0,1.0,3325,0,,,,,29,,,False,,,,,6.0,1.0,3325,,,788.2
1190,,,,0.5,0.5,400,200,,,,,22,,,True,,,,,0.5,0.5,400,,,221.5
1191,,,,8.0,4.0,2300,0,,,,,33,,,False,,,,,8.0,4.0,2300,,,584.8
1192,,,,1.5,1.7654267970401691,1500,700,,,,,25,,,False,,,,,1.5,0.0,1500,,,492.176542679704
1193,,,,4.0,0.25,1000,-1500,,,,,27,,,False,,,,,4.0,0.25,1000,,,172.85
1194,,,,1.0,0.25,580,0,,,,,22,,,True,,,,,1.0,0.25,580,,,237.95
1195,,,,1.0,0.25,300,0,,,,,21,,,True,,,,,1.0,0.25,300,,,181.95
1196,,,,0.5,0.5,380,0,,,,,25,,,False,,,,,0.5,0.5,380,,,198.3
1197,,,,6.0,8.0,450,50,,,,,40,,,False,,,,,6.0,8.0,450,,,221.5
1198,,,,3.1646325459317586,2.0,2950,1000,,,,,32,,,False,,,,,10.0,2.0,2950,,,814.7164632545931
1199,,,,3.1646325459317586,1.7654267970401691,3400,400,,,,,33,,,False,,,,,10.0,10.0,3400,,,845.6930059342973
1200,,,,0.5,0.5,380,0,,,,,22,,,True,,,,,0.5,0.5,380,,,198.5
1201,,,,5.0,1.7654267970401691,2600,0,,,,,30,,,False,,,,,5.0,0.0,2600,,,644.276542679704
1202,,,,6.0,1.0,2530,250,,,,,28,,,False,,,,,6.0,1.0,2530,,,655.4
1203,,,,4.0,3.0,2300,100,,,,,26,,,False,,,,,4.0,3.0,2300,,,594.3
1204,,,,4.0,2.0,1500,300,,,,,26,,,False,,,,,4.0,2.0,1500,,,454.2
1205,,,,7.0,4.0,3300,300,,,,,31,,,False,,,,,7.0,4.0,3300,,,815.8
1206,,,,1.5,1.5,1200,800,,,,,26,,,False,,,,,1.5,1.5,1200,,,443.8
1207,,,,2.0,1.0,2000,0,,,,,23,,,False,,,,,2.0,1.0,2000,,,523.6
1208,,,,6.0,1.7654267970401691,1700,300,,,,,26,,,False,,,,,6.0,0.0,1700,,,494.776542679704
1209,,,,1.5,1.5,2000,1500,,,,,28,,,False,,,,,1.5,1.5,2000,,,674.3
1210,,,,1.5,1.5,1000,300,,,,,28,,,False,,,,,1.5,1.5,1000,,,354.4
1211,,,,5.0,1.0,800,0,,,,,28,,,False,,,,,5.0,1.0,800,,,285.1
1212,,,,4.0,2.0,660,145,,,,,27,,,False,,,,,4.0,2.0,660,,,271.6
1213,,,,4.0,3.0,2800,200,,,,,26,,,False,,,,,4.0,3.0,2800,,,705.3
1214,,,,4.0,2.0,360,0,,,,,23,,,False,,,,,4.0,2.0,360,,,196.9
1215,,,,5.0,1.5,2250,600,,,,,23,,,False,,,,,5.0,1.5,2250,,,635.1
1216,,,,9.0,1.0,3300,800,,,,,28,,,False,,,,,9.0,1.0,3300,,,866.4
1217,,,,1.5,1.5,2400,200,,,,,26,,,False,,,,,1.5,1.5,2400,,,624.9
1218,,,,1.5,1.5,600,100,,,,,30,,,False,,,,,1.5,1.5,600,,,255.4
1219,,,,3.0,0.5,2500,500,,,,,29,,,False,,,,,3.0,0.5,2500,,,675.5
1220,,,,2.0,2.0,1600,0,,,,,30,,,False,,,,,2.0,2.0,1600,,,445.8
1221,,,,8.0,0.5,2150,0,,,,,27,,,False,,,,,8.0,0.5,2150,,,556.5
1222,,,,7.0,1.0,3000,0,,,,,28,,,False,,,,,7.0,1.0,3000,,,726.6
1223,,,,2.0,1.7654267970401691,2250,1700,,,,,23,,,False,,,,,2.0,0.0,2250,,,745.176542679704
1224,,,,1.0,1.0,300,100,,,,,21,,,False,,,,,1.0,1.0,300,,,194.9
1225,,,,4.0,4.0,500,30,,,,,23,,,True,,,,,4.0,4.0,500,,,229.5
1226,,,,1.0,1.0,655,300,,,,,20,,,True,,,,,1.0,1.0,655,,,286.1
1227,,,,1.0,1.0,400,250,,,,,30,,,False,,,,,1.0,1.0,400,,,231.1
1228,,,,3.1646325459317586,1.7654267970401691,4400,800,,,,,33,,,False,,,,,10.0,0.0,4400,,,1087.5930059342973
1229,,,,1.0,2.0,900,450,,,,,26,,,False,,,,,1.0,2.0,900,,,351.1
1230,,,,5.0,1.7654267970401691,3000,400,,,,,28,,,False,,,,,5.0,0.0,3000,,,766.976542679704
1231,,,,2.0,1.0,900,500,,,,,22,,,False,,,,,2.0,1.0,900,,,355.9
1232,,,,1.5,1.0,700,300,,,,,27,,,False,,,,,1.5,1.0,700,,,296.4
1233,,,,4.0,1.0,3000,500,,,,,26,,,False,,,,,4.0,1.0,3000,,,776.9
1234,,,,0.25,0.25,450,0,,,,,20,,,True,,,,,0.25,0.25,450,,,215.6
1235,,,,8.0,4.0,3200,400,,,,,31,,,False,,,,,8.0,4.0,3200,,,809.0
1236,,,,5.0,0.5,2200,0,,,,,27,,,False,,,,,5.0,0.5,2200,,,567.4
1237,,,,4.0,1.7654267970401691,3300,1000,,,,,26,,,False,,,,,4.0,0.0,3300,,,887.2765426797039
1238,,,,3.0,3.0,1800,600,,,,,24,,,False,,,,,3.0,3.0,1800,,,547.4
1239,,,,1.5,1.7654267970401691,400,200,,,,,23,,,False,,,,,1.5,0.0,400,,,226.67654267970403
1240,,,,1.5,1.5,500,200,,,,,26,,,False,,,,,1.5,1.5,500,,,247.2
1241,,,,3.1646325459317586,1.7654267970401691,200,0,,,,,28,,,False,,,,,0.0,0.0,200,,,167.39300593429718
1242,,,,2.0,0.5,2100,1100,,,,,25,,,False,,,,,2.0,0.5,2100,,,657.2
1243,,,,1.0,0.5,192,38,,,,,25,,,False,,,,,1.0,0.5,192,,,169.3
1244,,,,3.0,3.0,1500,500,,,,,24,,,False,,,,,3.0,3.0,1500,,,478.0
1245,,,,6.0,0.25,1500,500,,,,,25,,,False,,,,,6.0,0.25,1500,,,478.25
1246,,,,3.1646325459317586,2.0,2500,500,,,,,31,,,False,,,,,10.0,2.0,2500,,,679.4164632545932
1247,,,,3.1646325459317586,0.5,5300,0,,,,,31,,,False,,,,,10.0,0.5,5300,,,1189.2164632545932
1248,,,,1.0,0.5,500,0,,,,,32,,,False,,,,,1.0,0.5,500,,,228.3
1249,,,,8.0,6.0,600,100,,,,,26,,,False,,,,,8.0,6.0,600,,,260.3
1250,,,,6.0,1.0,3200,500,,,,,26,,,False,,,,,6.0,1.0,3200,,,819.0
1251,,,,3.1646325459317586,2.0,6000,1000,,,,,33,,,False,,,,,10.0,2.0,6000,,,1430.116463254593
1252,,,,7.0,1.7654267970401691,2200,-300,,,,,29,,,False,,,,,7.0,0.0,2200,,,539.676542679704
1253,,,,5.0,5.0,1700,0,,,,,28,,,False,,,,,5.0,5.0,1700,,,470.1
1254,,,,0.5,0.5,740,150,,,,,26,,,False,,,,,0.5,0.5,740,,,291.2
1255,,,,4.0,1.5,1800,350,,,,,23,,,True,,,,,4.0,1.5,1800,,,524.0
1256,,,,4.0,0.5,4000,500,,,,,34,,,False,,,,,4.0,0.5,4000,,,979.9
1257,,,,5.0,5.0,1550,200,,,,,26,,,False,,,,,5.0,5.0,1550,,,460.3
1258,,,,7.0,5.0,1710,100,,,,,32,,,False,,,,,7.0,5.0,1710,,,483.4
1259,,,,1.0,0.25,250,50,,,,,22,,,False,,,,,1.0,0.25,250,,,183.35
1260,,,,2.0,2.0,760,285,,,,,22,,,True,,,,,2.0,2.0,760,,,309.6
1261,,,,8.0,1.7654267970401691,7000,2150,,,,,28,,,False,,,,,8.0,0.0,7000,,,1745.676542679704
1262,,,,1.0,1.0,425,300,,,,,23,,,False,,,,,1.0,1.0,425,,,243.9
1263,,,,3.0,0.5,3500,0,,,,,30,,,False,,,,,3.0,0.5,3500,,,830.0
1264,,,,3.1646325459317586,1.7654267970401691,1500,0,,,,,25,,,False,,,,,0.0,0.0,1500,,,429.39300593429715
1265,,,,7.0,7.0,3850,0,,,,,31,,,False,,,,,7.0,7.0,3850,,,902.4
1266,,,,0.25,0.25,2500,500,,,,,28,,,False,,,,,0.25,0.25,2500,,,679.5
1267,,,,1.5,3.0,2000,500,,,,,25,,,False,,,,,1.5,3.0,2000,,,580.1
1268,,,,7.0,1.0,4200,200,,,,,28,,,False,,,,,7.0,1.0,4200,,,991.2
1269,,,,4.0,4.0,1600,400,,,,,28,,,False,,,,,4.0,4.0,1600,,,491.3
1270,,,,4.0,1.5,1100,200,,,,,25,,,False,,,,,4.0,1.5,1100,,,370.6
1271,,,,1.5,1.5,1000,300,,,,,30,,,False,,,,,1.5,1.5,1000,,,360.7
1272,,,,4.0,1.5,1000,500,,,,,30,,,False,,,,,4.0,1.5,1000,,,381.3
1273,,,,7.0,3.0,3500,300,,,,,29,,,False,,,,,7.0,3.0,3500,,,862.2
1274,,,,3.1646325459317586,2.0,2100,0,,,,,35,,,False,,,,,10.0,2.0,2100,,,552.6164632545931
1275,,,,1.0,0.25,5000,4500,,,,,18,,,False,,,,,1.0,0.25,5000,,,1579.55
1276,,,,8.0,1.0,2550,450,,,,,28,,,True,,,,,8.0,1.0,2550,,,687.3
1277,,,,1.0,1.0,550,300,,,,,23,,,False,,,,,1.0,1.0,550,,,270.4
1278,,,,2.0,1.5,500,100,,,,,26,,,False,,,,,2.0,1.5,500,,,241.1
1279,,,,3.0,4.0,1800,1800,,,,,29,,,False,,,,,3.0,4.0,1800,,,672.2
1280,,,,5.0,1.5,3600,1500,,,,,25,,,False,,,,,5.0,1.5,3600,,,1001.8
1281,,,,2.0,2.0,400,0,,,,,24,,,False,,,,,2.0,2.0,400,,,211.3
1282,,,,1.5,1.5,250,50,,,,,34,,,False,,,,,1.5,1.5,250,,,187.2
1283,,,,0.25,1.7654267970401691,200,350,,,,,23,,,False,,,,,0.25,0.0,200,,,205.826542679704
1284,,,,1.0,1.0,1000,400,,,,,25,,,False,,,,,1.0,1.0,1000,,,371.3
1285,,,,3.1646325459317586,8.0,2100,130,,,,,39,,,False,,,,,10.0,8.0,2100,,,568.3164632545931
1286,,,,2.0,1.5,1100,100,,,,,23,,,False,,,,,2.0,1.5,1100,,,361.6
1287,,,,2.0,0.5,1600,1100,,,,,23,,,False,,,,,2.0,0.5,1600,,,561.5
1288,,,,4.0,1.0,2300,50,,,,,33,,,False,,,,,4.0,1.0,2300,,,598.1
1289,,,,3.0,0.5,2200,1300,,,,,26,,,False,,,,,3.0,0.5,2200,,,702.2
1290,,,,1.0,0.25,750,250,,,,,24,,,False,,,,,1.0,0.25,750,,,306.65
1291,,,,4.0,1.5,1400,200,,,,,25,,,False,,,,,4.0,1.5,1400,,,432.7
1292,,,,4.0,0.25,1800,700,,,,,27,,,False,,,,,4.0,0.25,1800,,,562.75
1293,,,,5.0,5.0,1920,400,,,,,25,,,False,,,,,5.0,5.0,1920,,,557.8
1294,,,,3.0,1.7654267970401691,1500,300,,,,,29,,,False,,,,,3.0,0.0,1500,,,463.076542679704
1295,,,,3.0,0.25,2300,700,,,,,29,,,False,,,,,3.0,0.25,2300,,,663.05
1296,,,,9.0,4.0,3050,150,,,,,30,,,False,,,,,9.0,4.0,3050,,,760.2
1297,,,,2.0,1.5,346,0,,,,,31,,,False,,,,,2.0,1.5,346,,,202.7
1298,,,,7.0,4.0,3300,75,,,,,28,,,False,,,,,7.0,4.0,3300,,,802.3
1299,,,,1.0,0.5,200,100,,,,,21,,,True,,,,,1.0,0.5,200,,,182.4
1300,,,,6.0,0.5,3300,900,,,,,26,,,False,,,,,6.0,0.5,3300,,,883.9
1301,,,,2.0,0.5,2200,1000,,,,,30,,,False,,,,,2.0,0.5,2200,,,673.6
1302,,,,2.0,1.5,550,350,,,,,24,,,False,,,,,2.0,1.5,550,,,278.3
1303,,,,3.1646325459317586,1.7654267970401691,3500,200,,,,,40,,,False,,,,,10.0,10.0,3500,,,856.7930059342973
1304,,,,1.5,1.7654267970401691,900,400,,,,,23,,,True,,,,,1.5,0.0,900,,,353.276542679704
1305,,,,1.5,1.5,310,120,,,,,24,,,False,,,,,1.5,1.5,310,,,207.5
1306,,,,0.5,0.5,500,200,,,,,22,,,True,,,,,0.5,0.5,500,,,253.1
1307,,,,3.0,0.5,4000,3000,,,,,24,,,False,,,,,3.0,0.5,4000,,,1233.8
1308,,,,8.0,7.0,3300,0,,,,,32,,,False,,,,,8.0,7.0,3300,,,797.0
1309,,,,9.0,9.0,1500,-100,,,,,27,,,False,,,,,9.0,9.0,1500,,,427.2
1310,,,,3.0,0.25,1590,100,,,,,28,,,False,,,,,3.0,0.25,1590,,,462.45
1311,,,,2.0,2.0,510,125,,,,,26,,,False,,,,,2.0,2.0,510,,,249.0
1312,,,,6.0,4.0,2400,400,,,,,32,,,False,,,,,6.0,4.0,2400,,,656.4
1313,,,,3.0,0.5,600,200,,,,,27,,,False,,,,,3.0,0.5,600,,,274.7
1314,,,,1.5,1.5,600,150,,,,,20,,,True,,,,,1.5,1.5,600,,,269.1
1315,,,,4.0,3.0,2000,100,,,,,26,,,False,,,,,4.0,3.0,2000,,,545.5
1316,,,,3.1646325459317586,1.7654267970401691,400,400,,,,,19,,,True,,,,,0.0,0.0,400,,,254.09300593429717
1317,,,,2.0,1.0,3000,400,,,,,23,,,False,,,,,2.0,1.0,3000,,,774.6
